filename,high,low,slightly high,slightly low
6547_crop_1_jpg.rf.lb4eYzsK81JWJ2LSnk2N.jpg,0,0,0,1
847_crop_9_jpg.rf.lW9r0kbG5XuB5REQwRAv.jpg,1,0,0,0
1657_crop_2_jpg.rf.PpCpin7O7C0ATVbC1nDz.jpg,0,0,1,0
683_crop_9_jpg.rf.PjLYEXWtDmv0YTAy2tZR.jpg,1,0,0,0
6348_crop_2_jpg.rf.JoJ9mKzLtSoF1ncFRBFP.jpg,0,1,0,0
847_crop_6_jpg.rf.MnXGKmI6g4ZIM1LsF9UB.jpg,0,0,1,0
4363_crop_9_jpg.rf.Py0LoOuUeDJwrs1AuUi7.jpg,0,0,1,0
2094_crop_16_jpg.rf.lg0sY1xdYAmzRPRNl4kQ.jpg,0,1,0,0
1967_crop_1_jpg.rf.JsPpK9M4dono1NDcewUA.jpg,0,1,0,0
494_crop_1_jpg.rf.yB7lYQq8VwV6kClb10tt.jpg,0,0,1,0
1311_crop_9_jpg.rf.ldxhyHnb3ToTOFk7drEG.jpg,0,0,1,0
1932_crop_0_jpg.rf.lhFaojKU15um0OquWgpp.jpg,1,0,0,0
1549_crop_1_jpg.rf.N0GeSAUPabR6USXN8HSV.jpg,1,0,0,0
2067_crop_8_jpg.rf.eOF6obnLyMuNw6AnRKLs.jpg,1,0,0,0
2055_crop_15_jpg.rf.eQ6BVZBlSodsj1QmgHOF.jpg,1,0,0,0
1994_crop_9_jpg.rf.MZ9nTNv8lfaV1EUJuQT8.jpg,0,1,0,0
4637_crop_16_jpg.rf.QV4kxuz9uNVQLojpSUAh.jpg,0,0,0,1
6330_crop_6_jpg.rf.ljPXUV2V3n5Mbf9aenyU.jpg,0,0,0,1
4316_crop_19_jpg.rf.QTekAeE197sjau9xO5Rh.jpg,0,1,0,0
4376_crop_5_jpg.rf.NAjoK8eG5huTF7qYlw4i.jpg,0,0,1,0
860_crop_7_jpg.rf.K3HziIrYz6VG7vQmbsAz.jpg,0,0,1,0
1167_crop_5_jpg.rf.yGKh41pze6OJ2voXYciD.jpg,0,0,0,1
1961_crop_4_jpg.rf.O29Kud1UuBZTIa8HOUoM.jpg,1,0,0,0
1945_crop_0_jpg.rf.eUBBKP80n8t9iEePBr73.jpg,1,0,1,0
842_crop_10_jpg.rf.NA8wMyESkmdMRFIejtN2.jpg,0,0,0,1
1172_crop_0_jpg.rf.yJGVT0XSaTWw7Fv5d5Cj.jpg,0,0,1,0
2114_crop_15_jpg.rf.MVb54HTtHjxFpXPp3IhF.jpg,0,0,1,0
4391_crop_11_jpg.rf.m4yUYXeDqLVlPHsdVvoK.jpg,0,0,1,0
2135_crop_7_jpg.rf.yWJvzhTjwzoYdrobOjRW.jpg,0,0,1,0
6549_crop_0_jpg.rf.O6IJ0zk8K1D7e3CuLeuH.jpg,0,0,0,1
1999_crop_8_jpg.rf.NCRk8ZjiH8bVStbIlS4o.jpg,1,0,0,0
1530_crop_4_jpg.rf.QuGonPD9sahix43WNmm2.jpg,0,0,0,1
2131_crop_7_jpg.rf.K1GOTcfqzKxQjuXOryoF.jpg,0,0,1,0
1648_crop_2_jpg.rf.lpgbdg4aLWWjlcXUySyA.jpg,1,0,0,0
1312_crop_6_jpg.rf.yYI4OLJGa4vCapGZiQ8u.jpg,0,0,1,1
1531_crop_4_jpg.rf.ecXONx6qabduo4xLeBqW.jpg,0,0,1,1
1282_crop_8_jpg.rf.yuzMQlg15tTUluxNNPUV.jpg,0,0,0,1
1506_crop_4_jpg.rf.xF5SneBce8reJvMhS8a9.jpg,1,1,0,0
254_crop_0_jpg.rf.ySuS9ANHtCfvQ7gCSAJ1.jpg,1,0,0,0
1962_crop_7_jpg.rf.OAwLjFs4k8zMTjeF6Ybf.jpg,1,0,0,0
1993_crop_8_jpg.rf.Qx2avnBlTanib7nLpK28.jpg,1,0,0,0
4292_crop_1_jpg.rf.mDM5NQBxYUCX3lPJe2hb.jpg,1,0,0,0
6317_crop_0_jpg.rf.OEYk4gkabuhuUJngRsUT.jpg,0,0,0,1
882_crop_8_jpg.rf.xLfElvXC4Ljrm3qS5A2u.jpg,1,0,0,0
4354_crop_9_jpg.rf.m28nXHTgwi5LAxFALxRn.jpg,0,0,1,0
897_crop_2_jpg.rf.fANoCnN1t1X1eRjojxvJ.jpg,0,1,0,0
6349_crop_2_jpg.rf.zIB34PomlKK73uTzVKnI.jpg,0,0,0,1
3_crop_4_jpg.rf.eoClcZmSygB68kZBKTxE.jpg,1,0,0,0
1428_crop_0_jpg.rf.mTUnk4DC4r4MPb0tkzwh.jpg,1,0,0,0
1414_crop_4_jpg.rf.xVT3LC0k2CVUUslcTRgX.jpg,1,0,0,0
1938_crop_0_jpg.rf.z9DJT1G1MA2qwW0aMIoM.jpg,0,0,1,0
2023_crop_19_jpg.rf.KdSeVdP6NloNj7BhltRx.jpg,0,0,1,0
4398_crop_5_jpg.rf.xGMiW1ir2pSTgz8VO99e.jpg,0,0,1,0
1933_crop_5_jpg.rf.xGYv0z5N61LjpNDONjWp.jpg,0,0,0,1
1968_crop_2_jpg.rf.KrE57qJJ9BF5EiacIrRo.jpg,0,1,0,0
284_crop_1_jpg.rf.6lbRbH0fROaHVjK5qFc0.jpg,1,0,0,0
6227_crop_0_jpg.rf.NcQdzZfT1GEjrmrOcMdC.jpg,0,0,0,1
6323_crop_3_jpg.rf.NQNt57lFzaP2xyFfQvlW.jpg,0,0,0,1
6315_crop_2_jpg.rf.AEfKiT2XBrLMoInroblP.jpg,0,0,0,1
4414_crop_18_jpg.rf.f7ttX0ey43dHZqFHKWGP.jpg,0,0,1,0
40_crop_10_jpg.rf.xWqoctzRlyBvegxPzGGm.jpg,1,0,0,0
252_crop_3_jpg.rf.fCMjqsojjcH00sBGM1do.jpg,1,0,0,0
2111_crop_3_jpg.rf.OI1CWJTZeEtvfUmh64ZM.jpg,0,0,1,0
4325_crop_9_jpg.rf.KsXvLtPXHEHpOVQ4zsFC.jpg,1,0,0,0
4372_crop_9_jpg.rf.zZQ1ZzunPulDMjhqAXYq.jpg,0,0,1,0
6351_crop_1_jpg.rf.zIpvsSQMZFApd83CAW6N.jpg,0,1,0,0
4370_crop_13_jpg.rf.QzpGXcuXibGHxshfKle3.jpg,1,0,0,0
6259_crop_4_jpg.rf.fza7ZGHM7k2eI5x5jjYT.jpg,1,0,0,1
